step_number,step_name,question_1,question_2,question_3,question_4
1,mintys,Kokia mintis tave šiandien lydi kaip fonas?,"Ką kartoji sau, net kai tai tau nepalanku?","Kuri mintis tave pakylėja, kai esi abejonėse?","Kūnas primena tai, ką mintys bando nuslėpti. Eik į kūną."
2,įsitikinimai,Kokį seną įsitikinimą laikas paleisti?,"Ką esi priėmusi kaip savaime suprantamą, bet galbūt, tai tavęs nestiprina?","Koks įsitikinimas šiuo metu tave saugo, nors atrodo nelogiškas?","Tai, kuo tiki, gali slėpti tai, ko bijai. Eik į šešėlį."
3,kryptis,Kokia mintis tau atveria erdvę?,Kur kviečia tave vidinis žinojimas?,Kas tave įkvepia ieškoti atsakymų?,"Ten, kur yra aiškumas, gimsta įgalinimas. Eik į įgalinimą"
4,noras,Ką šiuo metu nori išties patirti?,Kokį troškimą laikai po šarvais?,"Ko norėtum, jei nebijotum?",Per jausmus atsiveria tikrasis troškimas. Eik į jausmus.
5,veiksmas,Koks žingsnis šiandien tave stiprina?,"Kurį veiksmą atidėlioji, nors jis tave išlaisvintų?","Ką darai dėl kitų, bet pamiršti save?",Veiksmas be krypties veda į išsibarstymą. Eik į kryptį.
6,įgalinimas,Kada paskutinį kartą jautei galią?,Kur gali rinktis kitaip?,"Kas tavyje yra nedrąsus, bet tikra galia?","Nustok abejoti – pasiimk tai, kas tau prieinama. Eik į resursą."
7,kūnas,Kokia kūno vieta šiandien kalba garsiausiai?,"Ką kūnas sako, kai nutyla protas?","Ko tau reikia, kad pailsėtų protas?","Ar girdi, ką tau sako kūnas? Eik į jausmus"
8,šaknys,Kokį paveldą neši?,Ką tau primena vaikystė?,Ką nori įsišaknyti kaip savą?,"Ar tikrai esi įsižeminęs, ar tik galvoji, kad esi? Eik į kūną."
9,resursas,Koks tavo slaptas resursas?,Kokį savo talentą buvai pamiršusi?,"Ką jau turi, bet nuvertini?","Kiek dar kaupsi, bet nenaudosi? Eik į veiksmą."
10,jausmai,Koks jausmas šiandien užima daugiausiai vietos tavyje?,"Ką bandai nustumti, bet jis vis grįžta?",Koks jausmas tave veda ar stabdo?,Jausmai gyvena tavo kūne ir kviečia juos išjausti. Eik į kūną.
11,šešėlis,Kokia dalis tavyje ieško pripažinimo?,"Kas tavyje laukia, kad būtų apkabintas?",Kokia tavo šešėlinė dovana?,"Tai, ką priimi savyje, tampa tavo pagrindu. Eik į šaknis."
12,intuicija,"Ką jaučiu, bet nedrįsti įvardinti?",Ką šnabžda tavo širdis?,Kokį atsakymą jau seniai žinai?,"Tai, ką jauti, dažnai yra tavo intuicijos balsas. Eik į jausmus."
